,name,cate_1,cate_2,cate_3,state,dong,lon,lat
45571,펠어커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,동선동,37.5932475509255,127.014892393633
45592,백곰마트,종합소매점,수퍼마켓,슈퍼마켓,동대문구,용신동,37.580758848122294,127.030092292488
45600,셀렉토커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,정릉4동,37.617808804410295,126.99871009160499
45638,청수,일식/수산물,음식점-일식,일식 음식점업,성북구,월곡2동,37.6088793751074,127.052152827262
45730,우쿠야,양식,돈가스전문점,서양식 음식점업,성북구,종암동,37.6026379970794,127.03141646802901
45747,뚜레쥬르,제과제빵떡케익,제과점,제과점업,성북구,종암동,37.598427005747396,127.035434622404
45779,국화,한식,한식/백반/한정식,한식 음식점업,성북구,길음2동,37.608060064659796,127.023497296066
45808,40년전통그시절그맛,제과제빵떡케익,제과점,제과점업,동대문구,제기동,37.5801536280927,127.039825482036
45846,동서비빔국수,한식,한식/백반/한정식,한식 음식점업,동대문구,답십리1동,37.5682989792325,127.051354190126
45877,강적,닭/오리요리,후라이드/양념치킨,치킨 전문점,동대문구,이문1동,37.596019263482795,127.06088833718701
45904,콩시콩뼈감자탕,한식,해장국/감자탕,한식 음식점업,성북구,안암동,37.5872834494989,127.029124459857
45911,청량리청과물도매시장,종합소매점,시장/종합상가,기타 음·식료품 위주 종합 소매업,동대문구,제기동,37.5797142871682,127.04120104208
45927,굿갓레스토랑,양식,기타전문서양음식점,서양식 음식점업,동대문구,회기동,37.5920724686454,127.052966175284
45934,불타는낙지,일식/수산물,낙지/오징어,한식 음식점업,성북구,종암동,37.6008353075239,127.03795161774299
45951,동양매직,종합소매점,시장/종합상가,기타 음·식료품 위주 종합 소매업,동대문구,답십리2동,37.5725237320529,127.06476075128799
45963,사라다방,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,동대문구,회기동,37.5905294315487,127.05493333310899
45973,가마솥삼계탕보신탕,별식/퓨전요리,사철탕전문,한식 음식점업,동대문구,장안1동,37.566853847127206,127.067887966886
46005,구이구이,한식,한식/백반/한정식,한식 음식점업,동대문구,장안1동,37.567806807823104,127.067615735133
46029,늑대와여우PC라운지,PC/오락/당구/볼링등,인터넷PC방,컴퓨터 게임방 운영업,동대문구,전농2동,37.5834079174206,127.05452519161999
46058,이천농장정육식당,한식,한식/백반/한정식,한식 음식점업,동대문구,장안2동,37.5739921152062,127.071568825946
46080,GS25,종합소매점,편의점,체인화 편의점,성북구,월곡1동,37.6042384222015,127.033196446997
46086,어허랑죽집고대병원,별식/퓨전요리,죽전문점,한식 음식점업,성북구,안암동,37.5870983380348,127.02634146934601
46126,잇팅엄마밥상,한식,한식/백반/한정식,한식 음식점업,성북구,길음2동,37.6108425986527,127.029848971825
46142,덮밥90도씨,한식,한식/백반/한정식,한식 음식점업,성북구,월곡1동,37.6112133545384,127.03550735748101
46191,GS25,종합소매점,편의점,체인화 편의점,동대문구,용신동,37.5769754492665,127.035711406854
46214,EYEEYE,한식,갈비/삼겹살,한식 음식점업,동대문구,이문2동,37.6028574552969,127.066476288058
46286,군자대한곱창,한식,한식/백반/한정식,한식 음식점업,성북구,동선동,37.5918905339571,127.01748070675899
46300,어사출또,일식/수산물,음식점-일식,일식 음식점업,성북구,동선동,37.5911428464104,127.017501859668
46345,호랑이술상,유흥주점,기타일반유흥주점,일반유흥 주점업,성북구,안암동,37.5838396207508,127.02999571179501
46357,달콤,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,성북동,37.5890489098689,127.004179540009
46405,퍼스트에스프레소,한식,한식/백반/한정식,한식 음식점업,동대문구,답십리1동,37.5682342161871,127.05676592801399
46408,동경통닭,닭/오리요리,후라이드/양념치킨,치킨 전문점,성북구,길음1동,37.6033349199773,127.021962212098
46437,다손김밥전문점,분식,라면김밥분식,분식 및 김밥 전문점,동대문구,제기동,37.5880133919809,127.03462922388799
46462,인터넷PC방,경마/경륜/성인오락,게임룸,기타 갬블링 및 베팅업,동대문구,장안2동,37.5710342094059,127.07125461469299
46563,메가MGC커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,월곡1동,37.6074639935496,127.038693032005
46594,GS25,종합소매점,편의점,체인화 편의점,성북구,돈암2동,37.5944635800327,127.012690860711
46598,썬더치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,동대문구,전농1동,37.579704777398604,127.044473116944
46684,세븐일레븐정릉온누리,종합소매점,편의점,체인화 편의점,성북구,정릉4동,37.6131117673589,127.01014504851001
46694,어머니대성집,한식,해장국/감자탕,한식 음식점업,동대문구,용신동,37.5774663686783,127.028550021816
46713,정만빙수,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,안암동,37.5888349382615,127.029330767167
46738,여주생고기,한식,갈비/삼겹살,한식 음식점업,성북구,종암동,37.5992678769002,127.034687668212
46780,충청도식당,한식,한식/백반/한정식,한식 음식점업,동대문구,제기동,37.582072568284204,127.04200862586501
46790,카페윤재,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,길음2동,37.6094202042626,127.023445534638
46797,아워홈국민대성북점델리버스,기타음식업,구내식당/자급식음식점,기관구내식당업,성북구,정릉3동,37.610184409786,126.998517838776
46809,채정집보쌈,한식,족발/보쌈전문,한식 음식점업,성북구,종암동,37.5926647431044,127.03597326782601
46820,호이차,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,안암동,37.5836536613423,127.029296146877
46836,카페24창업센터,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,장위2동,37.611774794006706,127.058164435219
46850,아다미식당,한식,한식/백반/한정식,한식 음식점업,성북구,길음2동,37.6077427714281,127.02872267118
46881,카페미르,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,동선동,37.5926993282755,127.013982410257
46895,장위동찌개마을,한식,한식/백반/한정식,한식 음식점업,성북구,장위2동,37.612127296866205,127.054920592659
46899,신씨네,분식,라면김밥분식,분식 및 김밥 전문점,성북구,정릉2동,37.607860539197794,127.010361882027
46948,신성할인마트,종합소매점,수퍼마켓,슈퍼마켓,동대문구,전농1동,37.578245192224294,127.04783158807699
47032,59피자동덕여대점,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",성북구,월곡2동,37.6040635160476,127.0426893321
47054,최고김밥,분식,라면김밥분식,분식 및 김밥 전문점,성북구,월곡1동,37.60367342881371,127.036827843133
47060,이공김밥,분식,라면김밥분식,분식 및 김밥 전문점,성북구,안암동,37.58238525796371,127.028452142084
47124,광동수산,일식/수산물,조개구이전문,한식 음식점업,성북구,종암동,37.591419451967,127.036849910087
47129,청진동해장국,한식,해장국/감자탕,한식 음식점업,동대문구,장안1동,37.567520121414205,127.068966366391
47173,사라잼,시계/귀금속소매,시계/귀금속,시계 및 귀금속 소매업,성북구,정릉2동,37.6069481986373,127.01439460750099
47189,GS25,종합소매점,편의점,체인화 편의점,동대문구,전농2동,37.57663378899161,127.061516773319
47193,제기동어항거리,종합소매점,시장/종합상가,기타 음·식료품 위주 종합 소매업,동대문구,제기동,37.57849533007071,127.033155801981
47194,청송,유흥주점,호프/맥주,기타 주점업,성북구,정릉3동,37.609255328308,127.00799890084299
47217,파파존스피자,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",성북구,성북동,37.5919425568675,127.012916665781
47286,가락공판장,종합소매점,수퍼마켓,슈퍼마켓,동대문구,답십리2동,37.5686535378287,127.05737191884701
47336,인터넷멀티문화방,경마/경륜/성인오락,게임룸,기타 갬블링 및 베팅업,동대문구,회기동,37.5932557256422,127.052203816516
47340,명동포장마차,유흥주점,소주방/포장마차,기타 주점업,동대문구,답십리1동,37.5720950635428,127.056185173675
47341,제일식당,한식,한식/백반/한정식,한식 음식점업,성북구,길음2동,37.6061177188884,127.02833607971701
47354,귀금속백화점,시계/귀금속소매,시계/귀금속,시계 및 귀금속 소매업,성북구,월곡2동,37.6034777169366,127.042674188608
47379,카페350,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,성북동,37.594255781963604,126.98815492262699
47386,이마트24,종합소매점,할인점,기타 대형 종합 소매업,동대문구,이문1동,37.5982385824836,127.054462125245
47405,쎄븐,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,동대문구,청량리동,37.5845849959498,127.044048424285
47434,부산빨간어묵포차,유흥주점,소주방/포장마차,기타 주점업,성북구,길음2동,37.6108425986527,127.029848971825
47438,쪽갈비에미치닭,한식,갈비/삼겹살,한식 음식점업,성북구,돈암1동,37.6036941185455,127.02945482966801
47472,평양장마당,한식,한식/백반/한정식,한식 음식점업,동대문구,청량리동,37.581656144540794,127.045104849471
47546,애슐리W,양식,패밀리레스토랑,서양식 음식점업,동대문구,전농1동,37.584191612424995,127.051129904848
47549,미스터피자,한식,한식/백반/한정식,한식 음식점업,성북구,정릉4동,37.6081298706949,127.010245054249
47551,피자몰,양식,정통양식/경양식,서양식 음식점업,동대문구,휘경1동,37.590171998108,127.056432519582
47616,오복기사식당,한식,기사식당,한식 음식점업,성북구,장위3동,37.6226458457187,127.050856574933
47632,세종에드씰크인쇄,종합소매점,시장/종합상가,기타 음·식료품 위주 종합 소매업,동대문구,용신동,37.578090379317004,127.031021296949
47636,논빼미,한식,한식/백반/한정식,한식 음식점업,동대문구,장안2동,37.5733111428573,127.068622579654
47638,참치갤러리,일식/수산물,참치전문점,일식 음식점업,성북구,길음2동,37.6083915431599,127.028725560472
47685,카페코니니(cafeKONINI),커피점/카페,커피전문점/카페/다방,비알콜 음료점업,동대문구,답십리2동,37.565112385331794,127.056239320214
47724,화평동왕냉면왕갈비,한식,갈비/삼겹살,한식 음식점업,성북구,장위1동,37.6191176481331,127.044637258045
47730,밀월,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,성북동,37.5905167896404,127.009436613284
47787,스시포유,일식/수산물,음식점-일식,일식 음식점업,성북구,삼선동,37.5911521899295,127.016459988786
47791,옥천등갈비김치찜,한식,갈비/삼겹살,한식 음식점업,성북구,정릉1동,37.6022234229219,127.01831877923901
47800,푸라닭치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,성북구,장위2동,37.611530425193294,127.05352366368601
47828,영철버거,양식,기타전문서양음식점,서양식 음식점업,성북구,안암동,37.583180978716705,127.028792787722
47867,스타벅스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,길음2동,37.6108425986527,127.029848971825
47872,셀렉토커피돌곶이역스타점,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,석관동,37.6103950396241,127.056890637051
47884,달떡볶이,분식,라면김밥분식,분식 및 김밥 전문점,동대문구,답십리2동,37.572222700439,127.05862879430401
47928,동광대장간,종합소매점,시장/종합상가,기타 음·식료품 위주 종합 소매업,동대문구,전농1동,37.5865553737518,127.052628461952
47940,CU신정푸른점,종합소매점,편의점,체인화 편의점,성북구,정릉3동,37.607310028563,127.007039393572
47950,세븐일레븐돈암센트레빌점,종합소매점,편의점,체인화 편의점,성북구,돈암1동,37.6020109564414,127.02529777035801
47966,주인공은당신불닭발,한식,한식/백반/한정식,한식 음식점업,성북구,정릉1동,37.6034891827436,127.016671314371
47987,대림전자,종합소매점,잡화점,그외 기타 종합 소매업,성북구,장위3동,37.617226391974,127.05482207310301
47997,판타스틱코인노래연습장,무도/유흥/가무,노래방,노래연습장 운영업,성북구,안암동,37.5871075428868,127.029647591002
48054,김운태빅히트스크린야구,스포츠/운동,실내야구연습장,그외 기타 스포츠시설 운영업,동대문구,이문1동,37.5941668914665,127.05909980162399
48065,황금곱창,한식,한식/백반/한정식,한식 음식점업,성북구,월곡1동,37.6074639935496,127.038693032005
48096,동원,중식,중국음식/중국집,중식 음식점업,동대문구,용신동,37.5767060732851,127.030326001958
