,name,cate_1,cate_2,cate_3,state,dong,lon,lat
42,러쉬,종합소매점,편의점,체인화 편의점,성북구,길음2동,37.6083915431599,127.028725560472
61,오리고,종합소매점,편의점,체인화 편의점,성북구,길음2동,37.6083915431599,127.028725560472
108,짱노래연습장,무도/유흥/가무,노래방,노래연습장 운영업,성북구,성북동,37.5949933083996,127.00282072529801
132,본죽,별식/퓨전요리,죽전문점,한식 음식점업,동대문구,청량리동,37.58128693785579,127.045132208848
141,본도시락,패스트푸드,도시락전문점,한식 음식점업,성북구,안암동,37.5822782624666,127.028589396712
270,던킨도너츠동대문홈플러스,패스트푸드,도너츠전문,제과점업,동대문구,용신동,37.5745404145486,127.03875415289
300,등대횟집,일식/수산물,횟집,한식 음식점업,동대문구,이문2동,37.6027249990216,127.06681769759399
324,샛별슈퍼,종합소매점,수퍼마켓,슈퍼마켓,성북구,삼선동,37.5834835858635,127.01097905321899
411,콘서트,유흥주점,룸살롱/단란주점,일반유흥 주점업,동대문구,장안2동,37.5698838442562,127.07048780737301
435,기사식당,한식,기사식당,한식 음식점업,동대문구,제기동,37.5866284329647,127.03495282308701
454,봉구비어답십리사거리점41,유흥주점,호프/맥주,기타 주점업,동대문구,답십리2동,37.573170850074,127.05775648932699
475,원조바지락손칼국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,성북구,종암동,37.595009238469,127.036192149597
522,보광당,시계/귀금속소매,시계/귀금속,시계 및 귀금속 소매업,성북구,성북동,37.589008832968105,127.00690892022301
554,갈치와고갈비,일식/수산물,갈치/생선구이,한식 음식점업,동대문구,용신동,37.5751428284376,127.02541034642701
555,삼보상회,종합소매점,잡화점,그외 기타 종합 소매업,동대문구,제기동,37.58183886111561,127.043189104361
630,피쉬마루,일식/수산물,횟집,한식 음식점업,성북구,석관동,37.613635165206,127.064359382838
745,종로곱창,한식,곱창/양구이전문,한식 음식점업,성북구,삼선동,37.588775385088795,127.00807828894101
788,경동슈퍼,종합소매점,수퍼마켓,슈퍼마켓,동대문구,제기동,37.578580909585,127.03922299816999
807,세븐일레븐,종합소매점,편의점,체인화 편의점,성북구,정릉4동,37.6131117673589,127.01014504851001
831,CU,종합소매점,편의점,체인화 편의점,성북구,안암동,37.5865588181345,127.03195321519199
871,네박자노래방,무도/유흥/가무,노래방,노래연습장 운영업,성북구,동선동,37.590647643836796,127.018629373645
1049,이마트에브리데이,제과제빵떡케익,제과점,제과점업,동대문구,답십리1동,37.5674509608506,127.053470425815
1177,카페비원,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,안암동,37.587486126285796,127.029665321878
1227,신창상회,종합소매점,종합소매,그외 기타 종합 소매업,동대문구,제기동,37.5790306472822,127.039126646871
1252,홍탁집,한식,한식/백반/한정식,한식 음식점업,동대문구,장안1동,37.5672606190345,127.068052694673
1268,대지슈퍼,종합소매점,수퍼마켓,슈퍼마켓,동대문구,전농1동,37.577169656803996,127.055272030431
1297,도꼬돈카츠,일식/수산물,음식점-일식,일식 음식점업,성북구,정릉3동,37.607486617159296,127.00020758066401
1396,나래김밥,분식,라면김밥분식,분식 및 김밥 전문점,동대문구,용신동,37.5770282709935,127.02459328754
1420,보리보리,한식,한식/백반/한정식,한식 음식점업,성북구,정릉3동,37.6083196689768,127.003888685359
1469,남원추어탕,한식,추어탕전문,한식 음식점업,동대문구,장안1동,37.56515344669621,127.068214779855
1473,金莎KTV노래연습장,무도/유흥/가무,노래방,노래연습장 운영업,성북구,안암동,37.5861447405502,127.029807283399
1477,김밥천국,분식,라면김밥분식,분식 및 김밥 전문점,성북구,종암동,37.59819250976361,127.034305206537
1599,빵이가득한집,제과제빵떡케익,제과점,제과점업,성북구,석관동,37.6094265056584,127.060855695394
1616,홍탁,일식/수산물,홍어전문,한식 음식점업,동대문구,전농2동,37.5761107645535,127.05807040003201
1648,정릉산장매점,종합소매점,수퍼마켓,슈퍼마켓,성북구,정릉4동,37.621461159745,127.002274716558
1670,갈비명가,한식,갈비/삼겹살,한식 음식점업,성북구,월곡1동,37.6038794602203,127.02570375165199
1775,오뚜기야식,음식배달서비스,야식집,이동 음식업,동대문구,제기동,37.5908439282541,127.03920125421601
1895,마일라,제과제빵떡케익,제과점,제과점업,성북구,길음2동,37.6065219829212,127.030380770657
1934,대일슈퍼,종합소매점,수퍼마켓,슈퍼마켓,성북구,정릉3동,37.611239063949796,127.007100419639
1995,베나레스,양식,정통양식/경양식,서양식 음식점업,동대문구,회기동,37.5926396136497,127.052902370279
2013,답십리슈퍼,종합소매점,수퍼마켓,슈퍼마켓,동대문구,답십리1동,37.5713921374776,127.05617140353998
2016,파리바게뜨카페하월곡동일점,제과제빵떡케익,제과점,제과점업,성북구,월곡1동,37.607805139383295,127.03302569656
2064,보글보글한식부페,한식,한식/백반/한정식,한식 음식점업,동대문구,장안1동,37.5662757799959,127.066570774076
2104,CU,종합소매점,편의점,체인화 편의점,동대문구,전농1동,37.58635886961,127.053967025524
2129,여심커피호프,유흥주점,호프/맥주,기타 주점업,동대문구,제기동,37.5790413291073,127.040439807457
2167,고대프로방스,양식,기타전문서양음식점,서양식 음식점업,성북구,안암동,37.5864875767796,127.030957744251
2213,볼모아당구장,PC/오락/당구/볼링등,당구장,당구장 운영업,성북구,종암동,37.5990812948172,127.033908683839
2299,황실제과,제과제빵떡케익,제과점,제과점업,동대문구,청량리동,37.584748195520895,127.043061288409
2437,오뚜기아구찜,일식/수산물,아구전문,한식 음식점업,성북구,장위2동,37.6136128927403,127.050291790233
2441,뉴욕앤핫도그,패스트푸드,핫도그,"피자, 햄버거, 샌드위치 및 유사 음식점업",성북구,안암동,37.5864875767796,127.030957744251
2483,작렬불돼지닭갈비,닭/오리요리,닭갈비전문,한식 음식점업,동대문구,장안2동,37.578385950217,127.070008516618
2530,CU,종합소매점,편의점,체인화 편의점,동대문구,용신동,37.5777945936554,127.02792308411001
2540,동의보감,한식,한식/백반/한정식,한식 음식점업,동대문구,용신동,37.576709239987295,127.04285850420099
2624,코리아세븐장안위더스점,종합소매점,편의점,체인화 편의점,동대문구,장안1동,37.56696470871061,127.062543674653
2664,송강루,중식,중국음식/중국집,중식 음식점업,성북구,정릉2동,37.6110415068163,127.01362702857
2685,훔친갈비청량리1호점,한식,한식/백반/한정식,한식 음식점업,동대문구,청량리동,37.583343601653105,127.048763007747
2696,ANDO,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,성북동,37.596315148108204,126.99718632384399
2751,미소야길음뉴타운점,분식,우동전문점,분식 및 김밥 전문점,성북구,길음1동,37.605047834341704,127.022075690652
2777,동대문엽기떡볶이고려대점,분식,떡볶이전문,분식 및 김밥 전문점,동대문구,제기동,37.5863081014157,127.034345536712
2931,종암슈퍼,종합소매점,수퍼마켓,슈퍼마켓,성북구,종암동,37.5951241912977,127.03702864053301
2970,토프레소,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,석관동,37.6044939770517,127.060374091536
2983,병천순대,한식,한식/백반/한정식,한식 음식점업,동대문구,용신동,37.5772524966342,127.032130316744
3047,자매손칼국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,동대문구,용신동,37.5755678174596,127.02668408003599
3063,나폴레옹제과,제과제빵떡케익,제과점,제과점업,성북구,성북동,37.58889399726829,127.005042151619
3079,옹녀연탄구이,한식,갈비/삼겹살,한식 음식점업,동대문구,답십리1동,37.573060171421204,127.056308841598
3172,사임당떡고을,제과제빵떡케익,떡전문,제과점업,동대문구,휘경1동,37.594718933289,127.06507188458299
3185,그라찌에,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,정릉3동,37.610184409786,126.998517838776
3194,음이온노래연습장,무도/유흥/가무,노래방,노래연습장 운영업,동대문구,이문2동,37.6031937632871,127.066845817618
3248,안나비니레스토랑,양식,정통양식/경양식,서양식 음식점업,성북구,정릉3동,37.6041203528784,126.998508540334
3265,전설의치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,동대문구,휘경2동,37.5886213517309,127.05971311942301
3299,스(HUFS)동문커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,동대문구,이문1동,37.598284309860894,127.057926832283
3357,성북동디너쑈,한식,한식/백반/한정식,한식 음식점업,성북구,성북동,37.5882776359625,127.004608763246
3365,금왕돈까스전문점,양식,돈가스전문점,서양식 음식점업,성북구,성북동,37.5947791316081,126.99456847344901
3368,달콤퐁당,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,안암동,37.588875637803504,127.022253356692
3388,고흥소곱창앤부추생삼겹살,한식,갈비/삼겹살,한식 음식점업,동대문구,이문1동,37.5955154506606,127.060985261308
3394,경동빵,제과제빵떡케익,제과점,제과점업,동대문구,제기동,37.5792119615573,127.041479201148
3437,윤경이네족발보쌈,한식,족발/보쌈전문,한식 음식점업,성북구,장위2동,37.6103005990497,127.05185163333599
3511,뚱땡이생고기삼겹살,한식,갈비/삼겹살,한식 음식점업,동대문구,이문2동,37.6005281946926,127.067037659235
3559,게스현대미아점,종합소매점,편의점,체인화 편의점,성북구,길음2동,37.6083915431599,127.028725560472
3597,클럽클리오뷰티크레딧길음점,종합소매점,편의점,체인화 편의점,성북구,길음1동,37.604320417561205,127.022368347264
3617,땀,연극/영화/극장,연극/음악/예술관련기타,,성북구,동선동,37.5905557063234,127.020578181632
3661,올젠,종합소매점,편의점,체인화 편의점,성북구,길음2동,37.6083915431599,127.028725560472
3670,C&C당구클럽,PC/오락/당구/볼링등,당구장,당구장 운영업,동대문구,휘경2동,37.589776819858606,127.06224629799499
3674,디디에두보,종합소매점,백화점,백화점,성북구,길음2동,37.6083915431599,127.028725560472
3712,진미곱창구이,한식,곱창/양구이전문,한식 음식점업,성북구,장위3동,37.6176043506681,127.057014802872
3761,어퓨지하철6호선고려대역점,종합소매점,편의점,체인화 편의점,성북구,안암동,37.5864875767796,127.030957744251
3887,쌔비테이블,별식/퓨전요리,퓨전음식전문,그외 기타 음식점업,성북구,성북동,37.5918395260596,127.003870594059
3911,성신돌곱창,한식,곱창/양구이전문,한식 음식점업,성북구,동선동,37.590986104122706,127.017073633937
3912,세컨스텝,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,동대문구,용신동,37.573705929862705,127.02489699911399
3925,고려대학교교육관로즈버드커피전문점,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,안암동,37.5884849860916,127.031701809695
3950,영상노래녹음실,무도/유흥/가무,노래방,노래연습장 운영업,동대문구,용신동,37.5749599284942,127.025084423944
3975,시종사,시계/귀금속소매,시계/귀금속,시계 및 귀금속 소매업,동대문구,청량리동,37.580908538480294,127.045137041676
4038,일본식오뎅집,분식,라면김밥분식,분식 및 김밥 전문점,동대문구,용신동,37.5727016364828,127.025487442374
4077,로터리당구장,PC/오락/당구/볼링등,당구장,당구장 운영업,동대문구,전농2동,37.5778529490088,127.05846734442
4097,현대사,시계/귀금속소매,시계/귀금속,시계 및 귀금속 소매업,동대문구,용신동,37.5751769341172,127.024085352534
4103,커피마마,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,종암동,37.5982673848483,127.03354550121401
4140,조선옥숯불갈비,한식,갈비/삼겹살,한식 음식점업,성북구,보문동,37.58167446839929,127.020943624748
4209,PC앤컴고수,PC/오락/당구/볼링등,인터넷PC방,컴퓨터 게임방 운영업,성북구,길음2동,37.6110070866459,127.02248469658501
4291,해주식당,한식,한식/백반/한정식,한식 음식점업,성북구,정릉3동,37.608450290137704,127.00870047701
4305,밥이랑술이랑,한식,한식/백반/한정식,한식 음식점업,성북구,장위1동,37.6147050895862,127.048295683723
4393,그린숯불닭바베큐,닭/오리요리,후라이드/양념치킨,치킨 전문점,동대문구,청량리동,37.586414720345005,127.04746711208999
4442,둘둘치킨한성대점,닭/오리요리,후라이드/양념치킨,치킨 전문점,성북구,삼선동,37.5866537510985,127.009725584412
4443,나는인터넷죤,PC/오락/당구/볼링등,인터넷PC방,컴퓨터 게임방 운영업,동대문구,제기동,37.586219603008104,127.03344087073
4491,세븐일레븐,종합소매점,편의점,체인화 편의점,성북구,장위1동,37.613092498607294,127.038326087705
4639,한양슈퍼체인,종합소매점,수퍼마켓,슈퍼마켓,성북구,보문동,37.5817073130505,127.020558249324
4685,리본,유흥주점,빠/카페/스탠드빠,일반유흥 주점업,동대문구,휘경2동,37.5889927287503,127.06108986051301
4706,지나네분식,분식,라면김밥분식,분식 및 김밥 전문점,성북구,장위1동,37.6165806648332,127.047354272719
4717,진미집,일식/수산물,해물찜/탕전문,한식 음식점업,동대문구,제기동,37.5859557321465,127.033127250614
4773,토돈삼겹살,한식,갈비/삼겹살,한식 음식점업,성북구,석관동,37.60844672817821,127.053256939887
4774,CU청량리전농점,종합소매점,편의점,체인화 편의점,동대문구,전농1동,37.5789364240807,127.043056424669
4789,엔씨에프,종합소매점,편의점,체인화 편의점,성북구,길음2동,37.6083915431599,127.028725560472
4872,화평동냉면드림랜드점,한식,냉면집,한식 음식점업,성북구,장위1동,37.6191176481331,127.044637258045
4876,포마토김밥,분식,라면김밥분식,분식 및 김밥 전문점,동대문구,전농2동,37.576469881882,127.057907380163
4964,MBC노래연습장,무도/유흥/가무,노래방,노래연습장 운영업,동대문구,제기동,37.586219603008104,127.03344087073
5006,3POPPC방,PC/오락/당구/볼링등,인터넷PC방,컴퓨터 게임방 운영업,동대문구,이문1동,37.5982931945597,127.056782949252
5022,하와이노래방,무도/유흥/가무,노래방,노래연습장 운영업,동대문구,답십리1동,37.5682989792325,127.051354190126
5067,랩핑반,종합소매점,생활용품판매,그외 기타 종합 소매업,성북구,정릉3동,37.6064030547504,126.99780972208099
5102,로뎀나무보리밥,한식,보리밥전문,한식 음식점업,성북구,종암동,37.5980894519352,127.038236111094
5117,기와집사철탕,별식/퓨전요리,사철탕전문,한식 음식점업,성북구,정릉3동,37.609349799906,127.008518646651
5138,대광건축자재할인마트,종합소매점,시장/종합상가,기타 음·식료품 위주 종합 소매업,동대문구,답십리1동,37.5691488773461,127.051716972411
5160,동그라미,한식,한식/백반/한정식,한식 음식점업,성북구,장위1동,37.6139683312712,127.046322877526
5190,우먼센스,종합소매점,잡화점,그외 기타 종합 소매업,성북구,석관동,37.6091952114849,127.05896714158001
5221,아버지와고등어,일식/수산물,고등어전문,한식 음식점업,성북구,동선동,37.595067652333704,127.01705392030199
5295,만복원조보쌈칼국수본점,한식,족발/보쌈전문,한식 음식점업,동대문구,장안1동,37.5659575175997,127.067344476533
5354,고봉민김밥인장안점,분식,라면김밥분식,분식 및 김밥 전문점,동대문구,장안1동,37.571073167518705,127.075069090487
5358,준이네떡뽀끼,제과제빵떡케익,떡/한과집,제과점업,성북구,정릉4동,37.618572202239,127.006946269606
5383,생활종합사,종합소매점,수퍼마켓,슈퍼마켓,동대문구,제기동,37.5818369430256,127.04184181578
5416,이루카베이커리,제과제빵떡케익,제과점,제과점업,성북구,정릉3동,37.6102304339189,127.0082351262
5421,삼천짜장,중식,중국음식/중국집,중식 음식점업,동대문구,휘경1동,37.5905235505746,127.05645072784701
5448,엠바,유흥주점,호프/맥주,기타 주점업,성북구,석관동,37.6129373605864,127.06499109379999
5557,목포식당,한식,한식/백반/한정식,한식 음식점업,성북구,길음2동,37.6061978712723,127.028221780677
5591,언덕위에카파,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,정릉3동,37.6114116935768,127.004062646547
5610,에디슨치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,동대문구,청량리동,37.5858446919117,127.04271889713301
5617,올레국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,성북구,성북동,37.592335925087,127.00290147863998
5667,GS25,종합소매점,편의점,체인화 편의점,동대문구,용신동,37.5777327874205,127.03136557083
5674,봉황날다,한식,한식/백반/한정식,한식 음식점업,성북구,성북동,37.5977568841592,126.99401881025899
5675,법학관카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,정릉3동,37.610184409786,126.998517838776
5684,크로네과자점,제과제빵떡케익,제과점,제과점업,동대문구,회기동,37.5931494297673,127.052431638269
5686,한스비빔밥,한식,한식/백반/한정식,한식 음식점업,동대문구,이문1동,37.594909011573,127.05950944379101
5791,빈대떡신사,한식,파전전문,한식 음식점업,동대문구,용신동,37.5758081024316,127.039519009399
5852,다이소,종합소매점,수퍼마켓,슈퍼마켓,동대문구,이문1동,37.595873935662,127.061875360511
5872,용가네,한식,한식/백반/한정식,한식 음식점업,성북구,석관동,37.6053792518424,127.06178997423599
5947,황토자연바지락손칼국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,성북구,장위1동,37.614418392035496,127.039600278679
5977,봉파레트,양식,정통양식/경양식,서양식 음식점업,성북구,성북동,37.58858242739,127.00442353702199
6066,퀸스웨딩부페,부페,종합부페,,동대문구,휘경1동,37.5903885732549,127.05986073555
6068,홍보슈퍼,종합소매점,수퍼마켓,슈퍼마켓,성북구,정릉3동,37.610590523203705,127.00285035869
6075,베누스타76,부페,종합부페,,성북구,길음2동,37.609138886471705,127.029757841665
6138,손가네곰국수설렁탕,한식,설렁탕집,한식 음식점업,성북구,성북동,37.593080172871794,127.00034373247601
6140,딱즉석떡볶이,분식,떡볶이전문,분식 및 김밥 전문점,성북구,월곡2동,37.6038803855547,127.04121938998999
6143,한신수제김밥,한식,한식/백반/한정식,한식 음식점업,동대문구,제기동,37.5910450855186,127.03956101543899
6145,디어브레드,제과제빵떡케익,제과점,제과점업,성북구,안암동,37.5872993262709,127.028863829811
6167,카페구로,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,성북동,37.5954053046804,126.988762175289
6170,Saute,양식,정통양식/경양식,서양식 음식점업,성북구,동선동,37.590953987127,127.01971238979701
6174,딱좋아호프,유흥주점,호프/맥주,기타 주점업,성북구,삼선동,37.5912343551022,127.01550774523899
6259,꼬치상회,유흥주점,꼬치구이전문점,기타 주점업,성북구,석관동,37.6102816574808,127.05848907482999
6272,GS25,종합소매점,편의점,체인화 편의점,동대문구,휘경2동,37.587899606145,127.056212102834
6300,쓰리빠7080,유흥주점,룸살롱/단란주점,일반유흥 주점업,동대문구,장안2동,37.5704702551716,127.071725748419
6301,뚜또오케이고대점,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,안암동,37.5877966160132,127.029072502922
6381,쉘브르노래방,무도/유흥/가무,노래방,노래연습장 운영업,동대문구,장안2동,37.572698852796,127.06981886777399
6394,대왕참치,일식/수산물,참치전문점,일식 음식점업,성북구,종암동,37.5988126794872,127.034115998549
6463,마마돈가스,양식,돈가스전문점,서양식 음식점업,성북구,종암동,37.592531958202294,127.037367780382
6552,청량리전통시장,종합소매점,시장/종합상가,기타 음·식료품 위주 종합 소매업,동대문구,청량리동,37.580748435901604,127.04316909401001
6613,이웃사촌청정바다,일식/수산물,횟집,한식 음식점업,성북구,석관동,37.6123135072033,127.06018510135
6614,동경산책,일식/수산물,음식점-일식,일식 음식점업,성북구,동선동,37.5908486450735,127.017879396275
6673,상제리아제과점,제과제빵떡케익,제과점,제과점업,성북구,장위3동,37.6168198919373,127.056945419094
6692,본가,한식,한식/백반/한정식,한식 음식점업,동대문구,제기동,37.5785526314674,127.033551311908
6719,항아리김밥,분식,라면김밥분식,분식 및 김밥 전문점,성북구,동선동,37.5955808116808,127.02242608053801
6721,CU성북삼선교점,종합소매점,편의점,체인화 편의점,성북구,삼선동,37.588775385088795,127.00807828894101
6743,써스데이아일랜드,종합소매점,편의점,체인화 편의점,성북구,길음2동,37.6083915431599,127.028725560472
6750,CU,종합소매점,편의점,체인화 편의점,동대문구,장안1동,37.562329842866895,127.060971815051
6794,미스터돈까스,양식,돈가스전문점,서양식 음식점업,성북구,삼선동,37.584881177056104,127.010020804091
6832,카페그리다,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,정릉3동,37.6093462296367,127.004883016609
6877,풍찬뼈다귀감자탕,한식,해장국/감자탕,한식 음식점업,성북구,종암동,37.6003016658032,127.03329269178002
6897,애프터유,부페,종합부페,,동대문구,용신동,37.577478894147504,127.03888619815201
6965,유로코피자,패스트푸드,패스트푸드,그외 기타 음식점업,동대문구,휘경2동,37.5906581399497,127.06543973775801
6979,명가옛날통닭,닭/오리요리,후라이드/양념치킨,치킨 전문점,동대문구,장안2동,37.5789498041369,127.07066947459299
6984,순수치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,성북구,보문동,37.5794285828108,127.021754223226
7014,The곱창,한식,곱창/양구이전문,한식 음식점업,성북구,정릉4동,37.6200054510921,127.007017827445
7019,원할머니,한식,족발/보쌈전문,한식 음식점업,성북구,종암동,37.6019072022586,127.03349841647801
7087,커피마마,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,동대문구,이문2동,37.6048987477233,127.06368736303601
7091,신은정광주소머리국밥,한식,해장국/감자탕,한식 음식점업,성북구,종암동,37.5914370491761,127.03790276036301
7114,카페낢진,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,안암동,37.5884849860916,127.031701809695
7115,삼다옥,중식,중국음식/중국집,중식 음식점업,성북구,월곡2동,37.6018196933437,127.040441763055
7130,닷찌,한식,기타고기요리,한식 음식점업,동대문구,장안1동,37.5645360890655,127.06534735199101
7136,이레,양식,정통양식/경양식,서양식 음식점업,성북구,동선동,37.5971561209452,127.014659677179
7231,비나,별식/퓨전요리,동남아음식전문점,기타 외국식 음식점업,동대문구,제기동,37.5884155477195,127.035326052633
7240,원앤올,무도/유흥/가무,노래방,노래연습장 운영업,성북구,동선동,37.5915443109008,127.017020998736
7264,네임드에스프레소,한식,한식/백반/한정식,한식 음식점업,성북구,성북동,37.5894917658406,127.00540785592399
7288,김밥마루,분식,라면김밥분식,분식 및 김밥 전문점,성북구,동선동,37.593866423523394,127.017794441549
7326,아다미분식,분식,라면김밥분식,분식 및 김밥 전문점,성북구,길음2동,37.6077427714281,127.02872267118
7373,자스민,중식,중국음식/중국집,중식 음식점업,성북구,종암동,37.5947923308543,127.03390751624599
7424,경발원,중식,중국음식/중국집,중식 음식점업,동대문구,휘경1동,37.590408396872,127.061219278947
7435,TUICAF고려대점,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,동대문구,제기동,37.5882555051533,127.035588545484
7625,빛나는바다Ⅱ,일식/수산물,횟집,한식 음식점업,성북구,석관동,37.6133172854358,127.06517889164
7646,곰돌이돈까스,양식,돈가스전문점,서양식 음식점업,동대문구,용신동,37.576419116644104,127.023933287381
7672,태영식당,한식,한식/백반/한정식,한식 음식점업,성북구,정릉1동,37.606184543697296,127.01574110785
7684,샹떼피시방,PC/오락/당구/볼링등,인터넷PC방,컴퓨터 게임방 운영업,성북구,종암동,37.5981518380993,127.033739510995
7715,목화음식점,한식,한식/백반/한정식,한식 음식점업,성북구,석관동,37.611644372387296,127.06215300538601
7737,이모네분식,분식,라면김밥분식,분식 및 김밥 전문점,성북구,삼선동,37.5883791753564,127.016722938175
7755,FRUITSPOP외대점,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,동대문구,이문1동,37.596196209864104,127.060478443937
7779,세븐일레븐신설중앙점,종합소매점,편의점,체인화 편의점,동대문구,용신동,37.5754852815803,127.025417204239
7833,대한곱창,한식,곱창/양구이전문,한식 음식점업,동대문구,장안1동,37.5629755851705,127.066272377798
7911,데상트코리아롯데백화점청량리점,종합소매점,할인점,기타 대형 종합 소매업,동대문구,전농1동,37.584191612424995,127.051129904848
7919,개성면옥,한식,냉면집,한식 음식점업,성북구,정릉2동,37.604097653713005,127.01292595283701
8056,한강호프,유흥주점,호프/맥주,기타 주점업,동대문구,장안1동,37.571938738647,127.068266095136
8074,네네치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,동대문구,용신동,37.5769754492665,127.035711406854
8128,NH농협,종합소매점,수퍼마켓,슈퍼마켓,동대문구,전농2동,37.577048028695394,127.05809255731
8147,화평동냉면석관점,한식,냉면집,한식 음식점업,성북구,석관동,37.6085115870531,127.060244268669
8149,생크림와플과뻥아이스,패스트푸드,패스트푸드,그외 기타 음식점업,성북구,안암동,37.58747525515879,127.029439006961
8169,대신수산,일식/수산물,음식점-일식,일식 음식점업,성북구,보문동,37.5792940039333,127.021823913353
8278,삼성정육식당,한식,갈비/삼겹살,한식 음식점업,동대문구,제기동,37.5910867233208,127.03914151611299
8291,코사마트,종합소매점,수퍼마켓,슈퍼마켓,동대문구,전농1동,37.58024151337779,127.052934905935
8319,삼대족발,한식,한식/백반/한정식,한식 음식점업,성북구,석관동,37.6121761167963,127.06103632337098
8340,원할머니,한식,족발/보쌈전문,한식 음식점업,성북구,정릉2동,37.606502687052,127.01068566577801
8379,장위전통시장,종합소매점,시장/종합상가,기타 음·식료품 위주 종합 소매업,성북구,장위2동,37.6101070311215,127.051310430632
8395,엄마밥줘고려본점,한식,한식/백반/한정식,한식 음식점업,성북구,안암동,37.583332649072396,127.02860966252899
8421,마치,일식/수산물,음식점-일식,일식 음식점업,동대문구,장안2동,37.5678237474003,127.07205290915199
8438,먹보해장국,한식,해장국/감자탕,한식 음식점업,동대문구,청량리동,37.5818815950071,127.044015061019
8557,파리바게뜨,제과제빵떡케익,제과점,제과점업,성북구,월곡1동,37.6064135086629,127.03143546647199
8558,뚜레쥬르,제과제빵떡케익,제과점,제과점업,동대문구,장안2동,37.572029778528794,127.072962967413
8561,장안평고미술상가,종합소매점,시장/종합상가,기타 음·식료품 위주 종합 소매업,동대문구,답십리2동,37.56385062702871,127.05733056647699
8567,팟태국마사지,요가/단전/마사지,스포츠마사지,마사지업,성북구,동선동,37.5922933183006,127.01715835275101
8608,알콩달콩커피집사진관,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,성북구,동선동,37.592407210886606,127.018934650608
8661,엄마손김밥,분식,라면김밥분식,분식 및 김밥 전문점,성북구,월곡1동,37.606963797537205,127.03481473294501
8676,전주콩나물국밥,한식,한식/백반/한정식,한식 음식점업,동대문구,용신동,37.5750368309847,127.03775153039601
8699,로즈힐,양식,정통양식/경양식,서양식 음식점업,동대문구,전농1동,37.584191612424995,127.051129904848
8762,로그인,종합소매점,편의점,체인화 편의점,동대문구,휘경2동,37.5858244342346,127.06719856086399
8791,세븐일레븐,종합소매점,편의점,체인화 편의점,동대문구,장안1동,37.56696470871061,127.062543674653
8800,횡성한우,한식,한식/백반/한정식,한식 음식점업,성북구,보문동,37.5799011098347,127.02114799339898
8806,굽네치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,동대문구,용신동,37.5805512648278,127.026766390276
8827,지지피시,PC/오락/당구/볼링등,인터넷PC방,컴퓨터 게임방 운영업,성북구,종암동,37.5926347548414,127.035611299805
8877,남도먹거리장터,한식,한식/백반/한정식,한식 음식점업,동대문구,용신동,37.577413026424,127.025358115117
8905,청마루한우,한식,갈비/삼겹살,한식 음식점업,동대문구,용신동,37.5773995596458,127.039102322285
8914,타임,유흥주점,호프/맥주,기타 주점업,동대문구,제기동,37.5828951885741,127.042337748135
8967,삼통치킨고대이공대점,닭/오리요리,후라이드/양념치킨,치킨 전문점,성북구,안암동,37.583446629885,127.02932147952
9020,밤나무골시장,종합소매점,시장/종합상가,기타 음·식료품 위주 종합 소매업,성북구,월곡1동,37.6090795982592,127.03571613004
9073,수정식당,한식,한식/백반/한정식,한식 음식점업,성북구,석관동,37.613673474837704,127.06350939258101
9216,우성참숯숯불갈비,한식,갈비/삼겹살,한식 음식점업,동대문구,전농2동,37.5784062521682,127.06687221933001
9299,삼성밸브,종합소매점,시장/종합상가,기타 음·식료품 위주 종합 소매업,동대문구,답십리1동,37.5713112529943,127.049459442604
9358,서울파전,한식,파전전문,한식 음식점업,동대문구,전농1동,37.5783069848841,127.056650197228
9454,아이큐박스,종합소매점,백화점,백화점,성북구,길음2동,37.6083915431599,127.028725560472
