,이름,"장소(안암, 성여입, 혜화)",주소,위도,경도,전화번호,영업시간,가격대,category,categroy_detal,음주여부,대표메뉴,메뉴 5가지,데이트 컨셉
149,미스사이공,,,,,,,,,,,,,
150,진미식당,,,,,,,,,,,,,
151,봉추찜닭 고대점,,,,,,,,,,,,,
152,육쌈냉면,,,,,,,,,,,,,
153,스미뜨,,,,,,,,,,,,,
154,왕대갈포차,,,,,,,,,,,,,
155,발리하이,,,,,,,,,,,,,
156,신의주찹쌀순대,,,,,,,,,,,,,
157,헤이피,,,,,,,,,,,,,
158,병천한방토종순대,,,,,,,,,,,,,
159,대즐링,,,,,,,,,,,,,
160,막걸리찬가,,,,,,,,,,,,,
161,강다짐고대점,,,,,,,,,,,,,
162,교촌치킨 안암점,,,,,,,,,,,,,
163,더베리와플,,,,,,,,,,,,,
164,막걸리집,,,,,,,,,,,,,
165,노랑통닭고대점,,,,,,,,,,,,,
166,커피명가안암점,,,,,,,,,,,,,
167,통큰어부,,,,,,,,,,,,,
168,마이 버터 드림,,,,,,,,,,,,,
169,더 보일,,,,,,,,,,,,,
170,도씨 나이차,,,,,,,,,,,,,
171,VIC,,,,,,,,,,,,,
172,고대멸치국수,,,,,,,,,,,,,
174,삼통치킨,,,,,,,,,,,,,
175,안암골생고기,,,,,,,,,,,,,
176,도리돈,,,,,,,,,,,,,
177,시작이 밤이다,,,,,,,,,,,,,
178,땡전집,,,,,,,,,,,,,
179,광주식당,,,,,,,,,,,,,
180,달콤퐁당,,,,,,,,,,,,,
181,나드리김밥 서울고려대안암병원점,,,,,,,,,,,,,
182,형제집,,,,,,,,,,,,,
183,홍도야 빈대떡,,,,,,,,,,,,,
184,라떼킹,,,,,,,,,,,,,
185,충주집,,,,,,,,,,,,,
186,꾸미롱,,,,,,,,,,,,,
187,쌀피자 안암오거리점,,,,,,,,,,,,,
188,황준호베이커리,,,,,,,,,,,,,
189,와플대학 고대안암캠퍼스,,,,,,,,,,,,,
190,베트남 노상 식당,,,,,,,,,,,,,
